,iso_code,country,sex,age,year,employment,unemployment,baseline_2020,recovery_score
67,AGO,Angola,Male,15-24,2024,40.338,26.99,34.036,6.302
68,AGO,Angola,Male,25+,2024,81.241,9.316,77.8,3.4410000000000025
69,AGO,Angola,Female,15+,2024,62.008,14.305,59.489,2.5190000000000055
70,AGO,Angola,Female,15-24,2024,39.026,26.48,35.196,3.8300000000000054
71,AGO,Angola,Female,25+,2024,73.655,10.317,71.444,2.2109999999999985
72,AGO,Angola,Total,15+,2023,64.369,14.051,61.078,3.290999999999997
73,AGO,Angola,Total,15-24,2023,39.671,26.834,34.617,5.054000000000002
74,AGO,Angola,Total,25+,2023,77.177,9.852,74.513,2.6640000000000015
75,AGO,Angola,Male,15+,2023,66.902,13.773,62.744,4.158000000000001
76,AGO,Angola,Male,15-24,2023,40.391,27.084,34.036,6.354999999999997
77,AGO,Angola,Male,25+,2023,81.119,9.354,77.8,3.3190000000000026
78,AGO,Angola,Female,15+,2023,61.951,14.335,59.489,2.4620000000000033
79,AGO,Angola,Female,15-24,2023,38.953,26.574,35.196,3.757000000000005
80,AGO,Angola,Female,25+,2023,73.497,10.359,71.444,2.0529999999999973
81,AGO,Angola,Total,15+,2022,64.619,14.124,61.078,3.540999999999997
82,AGO,Angola,Total,15-24,2022,38.974,27.143,34.617,4.356999999999999
83,AGO,Angola,Total,25+,2022,77.809,9.98,74.513,3.2959999999999923
84,AGO,Angola,Male,15+,2022,65.942,13.842,62.744,3.1979999999999933
85,AGO,Angola,Male,15-24,2022,39.267,27.359,34.036,5.231000000000002
86,AGO,Angola,Male,25+,2022,80.123,9.451,77.8,2.3230000000000075
87,AGO,Angola,Female,15+,2022,63.358,14.403,59.489,3.8689999999999998
88,AGO,Angola,Female,15-24,2022,38.683,26.924,35.196,3.487000000000002
89,AGO,Angola,Female,25+,2022,75.649,10.496,71.444,4.204999999999998
90,AGO,Angola,Total,15+,2021,64.306,15.799,61.078,3.2279999999999944
91,AGO,Angola,Total,15-24,2021,38.094,30.171,34.617,3.477000000000004
92,AGO,Angola,Total,25+,2021,77.69,11.224,74.513,3.1769999999999925
93,AGO,Angola,Male,15+,2021,65.772,15.817,62.744,3.028000000000006
94,AGO,Angola,Male,15-24,2021,37.412,32.636,34.036,3.3759999999999977
95,AGO,Angola,Male,25+,2021,80.735,10.344,77.8,2.9350000000000023
96,AGO,Angola,Female,15+,2021,62.907,15.781,59.489,3.4179999999999993
97,AGO,Angola,Female,15-24,2021,38.772,27.627,35.196,3.5760000000000005
98,AGO,Angola,Female,25+,2021,74.847,12.094,71.444,3.4029999999999916
99,AGO,Angola,Total,15+,2020,61.078,16.696,61.078,0.0
100,AGO,Angola,Total,15-24,2020,34.617,33.076,34.617,0.0
101,AGO,Angola,Total,25+,2020,74.513,11.592,74.513,0.0
102,AGO,Angola,Male,15+,2020,62.744,16.776,62.744,0.0
103,AGO,Angola,Male,15-24,2020,34.036,35.352,34.036,0.0
104,AGO,Angola,Male,25+,2020,77.8,10.903,77.8,0.0
105,AGO,Angola,Female,15+,2020,59.489,16.616,59.489,0.0
106,AGO,Angola,Female,15-24,2020,35.196,30.731,35.196,0.0
107,AGO,Angola,Female,25+,2020,71.444,12.282,71.444,0.0
108,ALB,Albania,Total,15+,2025,57.242,10.926,52.458,4.783999999999999
109,ALB,Albania,Total,15-24,2025,29.24,25.567,26.233,3.006999999999998
110,ALB,Albania,Total,25+,2025,62.101,9.471,58.217,3.8840000000000003
111,ALB,Albania,Male,15+,2025,62.698,10.709,59.136,3.5619999999999976
112,ALB,Albania,Male,15-24,2025,32.785,25.358,31.266,1.5189999999999984
113,ALB,Albania,Male,25+,2025,68.292,9.108,65.619,2.673000000000002
114,ALB,Albania,Female,15+,2025,52.022,11.175,46.06,5.961999999999996
115,ALB,Albania,Female,15-24,2025,25.386,25.858,20.938,4.448
116,ALB,Albania,Female,25+,2025,56.308,9.88,51.272,5.036000000000001
